"用户ID","特征","饮食情况","营养摄入","健康对比","时间"
"1001","单身 | 上班族 | 偏清淡","热量达标率:85%\n日均摄入:1800kcal\n问题:早餐经常缺失","蛋白质:达标\n膳食纤维:不足40%","优于65%同类人群（饮食较规律）","2025-01"
"1002","情侣 | 外食较多 | 偏油","热量达标率:88%\n高油摄入:2次/周","脂肪摄入:偏高\n蔬菜摄入:不足","健康饮食水平低于同类30%","2025-01"
"1003","养宠 | 运动人群","蛋白质摄入:92%\n高蛋白饮食:15次/月","蛋白粉使用:规律\n碳水摄入:稳定","营养结构优于前15%人群","2025-01"
"1004","养猫 | 居家 | 零食偏多","零食摄入:8次/月\n正餐规律性:较低","脂肪摄入:过高\n维生素:缺乏","建议降低零食+提高蔬菜摄入","2025-01"
"1005","老人 | 清淡饮食","自主进食比例:95%\n三餐规律:较差","蛋白质摄入:不足\n水摄入:偏低","需增加营养补充和饮水","2025-01"
"1006","多层家庭 | 有儿童","不规律饮食:3次/周\n零食摄入:较多","糖分摄入:偏高\n营养均衡度:中等","建议减少零食+增加正餐比例","2025-01"
"1007","独居 | 轻食主义","热量达标率:90%\n饮食清淡","膳食结构:均衡\n维生素:充足","健康水平优于70%人群","2025-01"
"1008","三口之家 | 家庭饮食","热量达标率:86%\n晚餐偏油:1次/天","脂肪摄入:轻度偏高\n水摄入:正常","整体饮食水平低于同类15%","2025-01"
"1009","养宠 | 普通饮食","蛋白质摄入:85%\n饮食规律性:一般","脂肪摄入:中度\n膳食纤维:不足","健康水平处于中等","2025-01"
"1010","三代同堂 | 家庭饮食","饮食规律性:82%\n手动调整饮食:3次/天","盐摄入:偏高\n油摄入:偏高","饮食健康性低于同类20%","2025-01"